train_name,train_type,status,confidence,matched_by,sample_train_no,train_count,row_count,data_quality_flags
COA-CGL CIRC,EXPRESS,REVIEW,0.650,NUMBER_RANGE,17644,1,36,{LIKELY_TRUNCATED}
COA-LTT EXP,EXPRESS,REVIEW,0.650,NUMBER_RANGE,17221,1,23,{ROUTE_CODE_STYLE}
COA-SC GOWTA,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12737,1,21,{LIKELY_TRUNCATED}
COA-SNSI EXP,EXPRESS,REVIEW,0.650,NUMBER_RANGE,17206,1,39,{LIKELY_TRUNCATED}
COA-TPTY PAS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,57258,1,90,{LIKELY_TRUNCATED}
COA-VSKP PSG,PASSENGER,REVIEW,0.600,NUMBER_RANGE,57255,1,23,{LIKELY_TRUNCATED}
COALFIELD EX,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12339,2,26,{LIKELY_TRUNCATED}
COIMBATORE E,EXPRESS,REVIEW,0.650,NUMBER_RANGE,11013,1,34,{LIKELY_TRUNCATED}
COR-RTM PASS,EXPRESS,REVIEW,0.650,NUMBER_RANGE,19328,1,16,{LIKELY_TRUNCATED}
COR-UDZ PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,59605,1,13,{LIKELY_TRUNCATED}
COROMANDEL E,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12842,1,17,{LIKELY_TRUNCATED}
CP - LGL PAS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,53179,1,35,{LIKELY_TRUNCATED}
CPA-CPR EXP,EXPRESS,REVIEW,0.650,NUMBER_RANGE,18192,1,31,{ROUTE_CODE_STYLE}
CPA-FD EXPRE,EXPRESS,REVIEW,0.650,NUMBER_RANGE,14222,1,9,{LIKELY_TRUNCATED}
CPJ-GKP PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,55055,1,6,{LIKELY_TRUNCATED}
CPJ-THE-DMU,PASSENGER,REVIEW,0.600,NUMBER_RANGE,75010,1,18,{ROUTE_CODE_STYLE}
CPR LTT EXPR,EXPRESS,REVIEW,0.650,NUMBER_RANGE,11060,1,24,{LIKELY_TRUNCATED}
CPR-BCY- INT,EXPRESS,REVIEW,0.650,NUMBER_RANGE,15111,1,14,{LIKELY_TRUNCATED}
CPR-BSB PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,55013,2,66,{LIKELY_TRUNCATED}
